ds,yhat,yhat_lower,yhat_upper,prioridade
2024-12-29,17.254441721954123,-43.40613593233845,83.87219457844947,P2
2024-12-31,43.827571380307404,-20.986545630210003,108.61871799052477,P2
2025-01-01,6.114001346520755,-62.39007801494306,65.24903955297785,P2
2025-01-02,46.151681622333925,-17.182891487363317,105.37887254161794,P2
2025-01-03,30.125765787098903,-29.09813862024182,85.42543697373372,P2
2025-01-04,17.879789779018708,-43.64221785959657,80.15144658565582,P2
2025-01-05,8.643055646807262,-48.18174960486568,67.8050856030429,P2
2025-01-06,32.68106831318079,-29.646934012963026,93.51561999067799,P2
2025-01-07,35.81517502594922,-29.14045509771505,99.65568733598444,P2
2025-01-08,39.55795728780969,-22.350754201595713,106.15724815364439,P2
2025-01-09,39.22637268329814,-22.019548217116096,99.3265825598681,P2
2025-01-10,23.90360604370747,-36.31036468957883,87.62620615073898,P2
2025-01-11,12.448257613569321,-48.51179969112434,78.51621635581088,P2
2025-01-12,4.072060662197149,-56.721910273557924,70.35368858762232,P2
2025-01-13,29.02082136341709,-30.69514629636045,95.6597572251728,P2
2025-01-14,33.094607453507415,-30.835672363741118,96.39269182134332,P2
2025-01-15,37.78373518933167,-25.091676305809965,98.01615861275494,P2
2025-01-16,38.38253500308155,-22.338749004348582,95.74702320991732,P2
2025-01-17,23.951837407789867,-35.25507209386941,83.04500112030779,P2
2025-01-18,13.32878865314142,-43.71192455320788,75.15662049454066,P2
2025-01-19,5.705170641521708,-55.04708907650615,66.94144159673861,P2
2025-01-20,31.308900813328066,-29.030061872043042,90.48563592053185,P2
2025-01-21,35.92472249090608,-27.66391406034121,98.06595209610835,P2
2025-01-22,41.030621097074665,-20.55007975189092,102.30051573833299,P2
2025-01-23,41.91193442486188,-22.094334943234745,103.1791012696355,P2
2025-01-24,27.624089237674937,-30.744568008912328,90.64432387936435,P2
2025-01-25,17.002566065170875,-44.3594011422102,79.50894462634612,P2
2025-01-26,9.24126342096801,-51.41492436334627,70.9082612036118,P2
2025-01-27,34.573935813260334,-23.596717930569312,98.78013936478979,P2
2025-01-28,38.79471816811675,-21.82078638434934,99.68700145013247,P2
2025-01-29,43.394277110356256,-19.01796686130319,105.90905099688118,P2
2025-01-30,43.67356519019788,-17.473820233165984,106.73237004966508,P2
2025-01-31,28.70612039003876,-33.62568972713267,92.9304296192052,P2
2025-02-01,17.347526173463457,-43.7596371023134,77.55854509476059,P2
2025-02-02,8.813217151338325,-54.434386185531075,68.10889883714823,P2
2025-02-03,33.35932111966671,-33.90453814662433,92.4139037871444,P2
2025-02-04,36.80256474719663,-27.17632469962438,98.11325036726602,P2
2025-02-05,40.65581231204109,-22.115015465343756,100.38079920343019,P2
2025-02-06,40.24120818844394,-24.75356533286944,99.34756887222288,P2
2025-02-07,24.651905289608422,-39.757841015386106,87.73673173676775,P2
2025-02-08,12.760999263249555,-48.49861874418941,72.47039897591908,P2
2025-02-09,3.7988703259732333,-58.69591101476317,69.12256393686268,P2
2025-02-10,28.033636142264534,-35.71485261162271,88.80897856864038,P2
2025-02-11,31.290755745556385,-29.01753680074587,96.72229402873188,P2
2025-02-12,35.088350376696944,-29.405077600526546,101.0808954717791,P2
2025-02-13,34.75024002805151,-28.922690386690256,94.09227516897143,P2
2025-02-14,19.367657357842585,-48.83900399952329,86.58606139586945,P2
2025-02-15,7.808269662038025,-55.02337937896007,67.94610327412443,P2
2025-02-16,-0.7085213317105143,-61.3493568829282,62.39911746286922,P2
2025-02-17,24.075827481939946,-34.74250535568673,85.49457147414024,P2
2025-02-18,27.97228181679922,-38.08833146407953,88.68935162426786,P2
2025-02-19,32.48220458358273,-31.775367382668932,94.37391445279198,P2
2025-02-20,32.91087764054604,-30.116652691960454,93.1615917307533,P2
2025-02-21,18.329744350635202,-44.34095526309621,82.88910728352197,P2
2025-02-22,7.585988086837766,-54.31388667750473,68.51772349108222,P2
2025-02-23,-0.11937331890754876,-64.0496482505792,62.76151231086783,P2
2025-02-24,25.449803713955298,-39.435717096690695,86.17176857584276,P2
2025-02-25,30.085291908568863,-32.24118756970539,88.60892712964488,P2
2025-02-26,35.27074828543949,-28.599422698768727,98.82061192965537,P2
2025-02-27,36.295692927576596,-25.445991424559285,94.22974769363887,P2
2025-02-28,22.218146214036665,-42.354225504158464,81.34810063353892,P2
2025-03-01,11.874529153000225,-47.59741037298319,76.04280822136037,P2
2025-03-02,4.4579987059128925,-58.7015433830224,66.30001836116293,P2
2025-03-03,30.199893261244537,-32.49247556453545,95.72630308311733,P2
2025-03-04,34.89030044755304,-25.581743843812117,93.57107574532085,P2
2025-03-05,40.01428654044805,-27.025094382368465,98.90063786516447,P2
2025-03-06,40.86576158951172,-18.399314447553763,101.93529397312861,P2
2025-03-07,26.50991991807357,-32.08644241191468,89.36096938547253,P2
2025-03-08,15.792867934331785,-46.69024797753677,75.45556486069934,P2
2025-03-09,7.91962045586147,-59.67226975485191,66.33167030599292,P2
2025-03-10,33.13515197709505,-27.47128614211791,94.13155440742842,P2
2025-03-11,37.2445277850532,-22.829311794154442,102.45608150861568,P2
2025-03-12,41.7486679998179,-16.63354095467041,102.87833250314894,P2
2025-03-13,41.957733127081525,-19.422305736338423,102.88047436117813,P2
2025-03-14,26.953085482753437,-31.738167134014546,88.6400019736651,P2
2025-03-15,15.59645287893651,-48.546296714865754,78.76619364902126,P2
2025-03-16,7.107489565491807,-53.946214748274514,67.04199466375825,P2
2025-03-17,31.74443356390998,-33.85256884613971,93.52571162087243,P2
2025-03-18,35.32389654668885,-23.559496202042418,95.99740065646542,P2
2025-03-19,39.35634879263454,-22.05154838331343,102.59139996860064,P2
2025-03-20,39.159295219268564,-25.07642130491687,97.44686977586257,P2
2025-03-21,23.819101973002617,-38.97347495710821,85.82260932546345,P2
2025-03-22,12.200102709069458,-50.31245011255592,75.26150688067959,P2
2025-03-23,3.5221798817088086,-52.40911501030947,69.11754163305376,P2
2025-03-24,28.041517743652314,-30.670515311179603,93.8341869500355,P2
2025-03-25,31.570559229622646,-29.370772525746027,95.89618954949381,P2
2025-03-26,35.61372200639768,-26.748520335519757,98.00695637763388,P2
2025-03-27,35.480861298692815,-29.001667631640586,99.68907612321392,P2
2025-03-28,20.24942858905388,-43.832257330233645,82.69175176534279,P2
2025-03-29,8.773943670291732,-58.11174272421168,67.05174192277768,P2
2025-03-30,0.2639627154588382,-59.50212298115641,59.736171816673945,P2
2025-03-31,24.965226197173664,-38.52991777024474,87.07101116058188,P2
2025-04-01,28.68000503195308,-35.785533780385244,85.74492667602806,P2
2025-04-02,32.903187820771336,-32.2835472716488,93.13344044891886,P2
2025-04-03,32.93608428608464,-25.961358173083774,97.60116779518663,P2
2025-04-04,17.84888295041133,-48.33672559097844,78.55656083372216,P2
2025-04-05,6.490370806654354,-55.43433237628112,63.92803598659675,P2
2025-04-06,-1.933910222555042,-63.29833039649273,65.92516648298427,P2
2025-04-07,22.819607854490535,-36.546176820343305,86.99601666169573,P2
2025-04-08,26.552919570692282,-35.10509833036741,88.35968695104381,P2
2025-04-09,30.76251725010946,-29.817360272512165,96.82129795247675,P2
2025-04-10,30.753109053476106,-36.55001458648141,90.09912424145514,P2
2025-04-11,15.59992505801133,-40.21650554557781,79.54921482253803,P2
2025-04-12,4.158224590397801,-59.270763222210604,67.84608008721467,P2
2025-04-13,-4.35881300084516,-63.9106541922983,61.46175454749065,P2
2025-04-14,20.30087299822992,-39.04160153720759,76.47363203770074,P2
2025-04-15,23.948281954067134,-36.24897802474984,81.79315466627685,P2
